country,year,sex,age_group,suicides_no,population,suicides_ratio
Armenia,2013,male,35-54 years,13.0,370440.0,0.034999999999999996
Armenia,2013,male,5-14 years,1.0,193754.0,0.005
Armenia,2013,male,55-74 years,11.0,218063.0,0.05
Armenia,2013,male,75+ years,7.0,58640.0,0.11900000000000001
Armenia,2014,female,15-24 years,2.0,227895.0,0.009000000000000001
Armenia,2014,female,25-34 years,0.0,269937.0,0.0
Armenia,2014,female,35-54 years,2.0,417829.0,0.005
Armenia,2014,female,5-14 years,1.0,171332.0,0.006
Armenia,2014,female,55-74 years,4.0,288822.0,0.014
Armenia,2014,female,75+ years,6.0,98118.0,0.061
Armenia,2014,male,15-24 years,3.0,230760.0,0.013
Armenia,2014,male,25-34 years,6.0,253461.0,0.024
Armenia,2014,male,35-54 years,13.0,363362.0,0.036000000000000004
Armenia,2014,male,5-14 years,0.0,196975.0,0.0
Armenia,2014,male,55-74 years,12.0,224430.0,0.053
Armenia,2014,male,75+ years,9.0,60108.0,0.15
Armenia,2015,female,15-24 years,3.0,212010.0,0.014
Armenia,2015,female,25-34 years,2.0,274108.0,0.007
Armenia,2015,female,35-54 years,4.0,412360.0,0.01
Armenia,2015,female,5-14 years,0.0,175417.0,0.0
Armenia,2015,female,55-74 years,5.0,297936.0,0.017
Armenia,2015,female,75+ years,5.0,100754.0,0.05
Armenia,2015,male,15-24 years,2.0,216876.0,0.009000000000000001
Armenia,2015,male,25-34 years,10.0,255540.0,0.039
Armenia,2015,male,35-54 years,15.0,356715.0,0.041999999999999996
Armenia,2015,male,5-14 years,0.0,201051.0,0.0
Armenia,2015,male,55-74 years,16.0,231213.0,0.06899999999999999
Armenia,2015,male,75+ years,12.0,61355.0,0.196
Armenia,2016,female,15-24 years,1.0,195422.0,0.005
Armenia,2016,female,25-34 years,2.0,277452.0,0.007
Armenia,2016,female,35-54 years,3.0,408109.0,0.007
Armenia,2016,female,5-14 years,0.0,179062.0,0.0
Armenia,2016,female,55-74 years,6.0,308349.0,0.019
Armenia,2016,female,75+ years,2.0,102414.0,0.02
Armenia,2016,male,15-24 years,5.0,202220.0,0.025
Armenia,2016,male,25-34 years,4.0,255665.0,0.016
Armenia,2016,male,35-54 years,16.0,350633.0,0.046
Armenia,2016,male,5-14 years,0.0,205024.0,0.0
Armenia,2016,male,55-74 years,16.0,237813.0,0.067
Armenia,2016,male,75+ years,12.0,61956.0,0.194
Aruba,2006,female,15-24 years,0.0,6736.0,0.0
Aruba,2006,female,25-34 years,0.0,6928.0,0.0
