country,year,forest_area,adjusted_nni,inflation
Switzerland,2015,31.69,556361,-1.14
Thailand,2015,39.27,306673,-0.9
Trinidad and Tobago,2015,44.89,20657,4.66
Ukraine,2015,16.67,82882,48.7
United Arab Emirates,2015,4.47,330345,4.07
Uruguay,2015,10.97,43239,8.67
Armenia,2016,11.57,9301,-1.4
Aruba,2016,2.33,2529,-0.93
Australia,2016,17.43,944782,1.28
Austria,2016,47.08,325130,0.89
Azerbaijan,2016,13.15,29455,12.44
Bahrain,2016,0.8,25655,2.79
Barbados,2016,14.65,4104,1.28
Belgium,2016,22.76,390682,1.97
Belize,2016,57.94,1389,0.66
Brazil,2016,60.07,1557752,8.74
Brunei Darussalam,2016,72.11,10191,-0.28
Bulgaria,2016,35.38,44464,-0.8
Cabo Verde,2016,11.05,1401,-1.41
Canada,2016,38.71,1239651,1.43
Chile,2016,23.83,201499,3.79
Colombia,2016,54.04,239555,7.51
Costa Rica,2016,58.16,53321,-0.02
Croatia,2016,34.38,42607,-1.13
Cyprus,2016,18.68,17486,-1.43
Denmark,2016,15.62,268192,0.25
Ecuador,2016,51.36,79911,1.73
El Salvador,2016,29.05,19884,0.6
Estonia,2016,55.7,19790,0.15
Fiji,2016,60.94,4015,3.86
Finland,2016,73.74,196815,0.36
France,2016,30.9,2077290,0.18
Germany,2016,32.69,2930918,0.49
Greece,2016,30.27,160417,-0.83
Guatemala,2016,33.35,55941,4.45
Guyana,2016,93.74,3785,0.84
Hungary,2016,22.56,103502,0.39
Ireland,2016,11.07,172430,0.01
Italy,2016,31.62,1546098,-0.09
Jamaica,2016,53.68,12374,2.35
Japan,2016,68.42,3912245,-0.13
Kazakhstan,2016,1.24,102265,14.55
Kuwait,2016,0.35,102257,3.2
Latvia,2016,54.56,21590,0.14
Lithuania,2016,34.96,35753,0.91
Luxembourg,2016,34.45,34002,0.29
Maldives,2016,2.73,3594,0.5
Mauritius,2016,19.17,11567,0.98
Mexico,2016,34.06,851281,2.82
Mongolia,2016,9.1,8704,0.73
Montenegro,2016,61.49,3986,-0.27
Netherlands,2016,10.86,640008,0.32
New Zealand,2016,37.4,155975,0.65
Nicaragua,2016,31.64,11386,3.52
Norway,2016,33.27,304761,3.55
Oman,2016,0.01,44744,1.11
Panama,2016,57.47,50141,0.74
Paraguay,2016,43.63,31775,4.09
Poland,2016,30.81,397339,-0.66
Qatar,2016,0.0,118836,2.68
Romania,2016,30.12,151223,-1.54
Russian Federation,2016,49.77,1010782,7.04
Serbia,2016,31.1,33036,1.12
Seychelles,2016,73.26,1139,-1.02
Singapore,2016,22.97,250468,-0.53
Slovenia,2016,61.86,34548,-0.05
South Africa,2016,14.18,264514,6.57
Spain,2016,37.14,1049259,-0.2
Sri Lanka,2016,34.34,74446,3.96
Suriname,2016,97.69,2327,55.41
Sweden,2016,68.69,433090,0.98
Switzerland,2016,31.77,540008,-0.43
Thailand,2016,39.18,319281,0.19
Trinidad and Tobago,2016,44.81,18290,3.07
Ukraine,2016,16.68,81530,13.91
United Arab Emirates,2016,4.47,332107,1.62
Uruguay,2016,11.12,46077,9.64
