country,year,forest_area,adjusted_nni,inflation
Armenia,2008,11.63,10947,8.95
Aruba,2008,2.33,2343,8.96
Australia,2008,16.92,801289,4.35
Austria,2008,46.75,361829,3.22
Azerbaijan,2008,12.39,27772,20.85
Bahrain,2008,0.64,17470,3.53
Barbados,2008,14.65,4036,8.11
Belgium,2008,22.63,431307,4.49
Belize,2008,61.59,894,6.39
Brazil,2008,62.15,1424245,5.68
Brunei Darussalam,2008,72.75,10345,2.08
Bulgaria,2008,33.74,44756,12.35
Cabo Verde,2008,10.45,1487,6.77
Canada,2008,38.75,1258776,2.37
Chile,2008,22.25,128852,8.72
Colombia,2008,55.15,190747,7.0
Costa Rica,2008,56.18,28501,13.42
Croatia,2008,34.18,57132,6.08
Cyprus,2008,18.68,24202,4.67
Denmark,2008,14.59,286485,3.42
Ecuador,2008,53.02,45376,8.4
El Salvador,2008,30.79,15871,6.71
Estonia,2008,54.65,19330,10.36
Fiji,2008,58.01,3136,7.73
Finland,2008,73.32,233837,4.07
France,2008,29.57,2478369,2.81
Germany,2008,32.69,3119203,2.63
Greece,2008,29.8,290315,4.15
Guatemala,2008,35.65,32816,11.36
Guyana,2008,94.13,2706,8.1
Hungary,2008,22.56,121771,6.04
Ireland,2008,10.2,199321,4.06
Italy,2008,30.08,1983297,3.35
Jamaica,2008,50.87,12004,22.02
Japan,2008,68.44,3897379,1.38
Kazakhstan,2008,1.15,81789,17.14
Kuwait,2008,0.34,130676,10.58
Latvia,2008,53.77,27555,15.4
Lithuania,2008,34.14,40472,10.93
Luxembourg,2008,34.3,40188,3.4
Maldives,2008,2.73,1788,12.04
Mauritius,2008,19.26,9011,9.73
Mexico,2008,34.58,868175,5.12
Mongolia,2008,9.12,4332,27.96
Montenegro,2008,58.5,4120,8.76
Netherlands,2008,10.98,763387,2.49
New Zealand,2008,37.4,101132,3.96
Nicaragua,2008,36.82,7533,19.83
Norway,2008,33.14,348460,3.75
Oman,2008,0.01,35960,12.38
Panama,2008,58.53,22155,8.76
Paraguay,2008,50.98,20923,10.15
Poland,2008,30.28,456785,4.16
Qatar,2008,0.0,72508,15.05
Romania,2008,28.21,175638,7.85
Russian Federation,2008,49.7,1297852,14.11
Serbia,2008,30.44,42278,12.41
Seychelles,2008,73.26,777,36.96
Singapore,2008,25.14,157109,6.63
